% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 17:19
% Dimension:          3
% Nodes:              32
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
0,0,2,NaN,NaN,NaN,NaN
2,0,2,8314.285298141449,-1.1120185965809595,483.5108053402373,8328.332603490158
4,0,2,1504.096971594558,-0.515250001550111,-659.3152323656948,1642.2559304419988
6,0,2,417.5330399827451,-0.24391647389140816,-353.99517653423675,547.3997478826459
0,2,2,-1.9704240426377424,8302.349797875917,467.43159492459836,8315.498081582062
2,2,2,2704.8316690486304,2707.8194558377686,-640.9131410288396,3880.614670080682
4,2,2,963.1407722471299,481.7020227261926,-580.3030228797545,1223.285978104337
6,2,2,331.27452965483076,110.32009948360678,-318.124696399668,472.3522634723826
0,4,2,-0.8737803405702375,1502.1839463259016,-660.0866877264539,1640.8143732320923
2,4,2,480.7089275564283,962.8818830680204,-580.4663404723237,1222.7688932068888
4,4,2,359.4026256420491,359.6499376185118,-396.4093526201225,644.7159838193116
6,4,2,184.07812186655212,122.73707728505258,-239.75847591163918,326.2411253380945
0,6,2,-0.42782644298332434,417.18524120567577,-354.1724350293741,547.2493236633002
2,6,2,110.03911323630962,331.0955386769306,-318.17068432907615,472.19217119731326
4,6,2,122.5287356655964,184.03312756048263,-239.75810643375425,326.13713787945386
6,6,2,87.19818133822639,87.1412367969308,-164.44722370417406,205.52373917191088
0,0,4,-0.6411576245876848,-0.355855304118625,5407.156541806242,5407.156591528873
2,0,4,2151.610311661963,-0.32029987104861674,2070.1432291195697,2985.78633276256
4,0,4,1085.7406760226497,-0.21848445260016938,275.84767825260997,1120.2342634033882
6,0,4,461.5393108883957,-0.1345015000205514,-48.83774251540365,464.1160185556942
0,2,4,-0.5672625469792987,2152.022921425898,2068.7034927623,2985.0857805256105
2,2,4,1217.3931954961668,1218.1099981264301,996.6896765527626,1989.7810108961212
4,2,4,793.3833322144095,396.7655614731179,137.69081778982354,897.6852365447195
6,2,4,382.69314615879705,127.52552647283011,-62.082208672944375,408.1311120863024
0,4,4,-0.38665800039893594,1085.432521854313,275.18223904436377,1119.7719293181503
2,4,4,396.33757147926474,793.395899191492,137.42805810869754,897.4669880143142
4,4,4,376.9538615085985,377.12149067834,-28.064166418247623,533.949838350428
6,4,4,234.9195690489147,156.63738124837386,-78.49413984796155,293.05938496650737
0,6,4,-0.24263003174668757,461.3274670516581,-49.04927526022868,463.92771218066366
2,6,4,127.33561641426223,382.59311396113867,-62.193411583506304,407.99493930988456
4,6,4,156.5159341264535,234.9270317622305,-78.5135512332526,293.0056750565507
6,6,4,123.36038792594172,123.39447254510799,-77.51026983951613,190.923605388435
