% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
0,0,2,NaN,NaN,NaN,NaN
0.1,0,2,246354.79449326164,-1.6450761220859675,389222.3661134423,460635.14309643157
0.2,0,2,182938.70226122462,-1.5870557424481153,166661.87677212086,247472.72568253925
0.3,0,2,120564.56200850278,-1.6027080144779995,88819.88891927782,149749.07773506865
0.4,0,2,85492.9550412519,-1.6533790463425135,56691.72628578299,102581.66109827487
0.5,0,2,64966.4719199407,-1.7099667277330646,39871.20529190334,76225.68784915969
0.6,0,2,51785.8089681791,-1.7536926482729194,29502.691086320632,59600.15767511894
0.7,0,2,42620.64606355074,-1.7752625076693382,22456.804163909517,48174.96784931157
0.8,0,2,35856.17271343224,-1.7727456056375264,17380.197347096826,39846.409933921794
0.9,0,2,30641.552170567775,-1.7487935901057092,13583.824460619995,33517.532866499045
1,0,2,26490.814555023586,-1.707938532961713,10672.63407870402,28559.908558740484
1.1,0,2,23106.505144975155,-1.6546069717158631,8400.298007503823,24586.085279429102
1.2,0,2,20295.850760225017,-1.5921902684874922,6603.6411953848865,21343.140295040477
1.3,0,2,17927.908265890153,-1.5231282475363448,5169.568089256526,18658.358216615725
1.4,0,2,15910.190545907775,-1.4496313537309051,4016.901581303119,16409.438248227747
1.5,0,2,14175.186178219152,-1.3745019339482383,3085.738350818905,14507.159827000783
1.6,0,2,12672.210567197793,-1.3015644368813863,2330.878660147957,12884.794048870262
1.7,0,2,11362.280296703264,-1.2354404216780914,1717.5947949385863,11491.368367029418
1.8,0,2,10214.778170634014,-1.1807066031557676,1218.8060426648844,10287.233964432115
1.9,0,2,9205.219266975435,-1.1407325900240157,813.1340701575873,9241.063254324019
2,0,2,8313.716039296087,-1.1166180966797934,483.5290417205015,8327.765364314255
2.1,0,2,7523.899576515778,-1.1066066500190324,216.27728622398536,7527.0075014316935
2.2,0,2,6822.145454221819,-1.1061788408253341,0.27081926242044574,6822.145549278037
2.3,0,2,6197.006920130498,-1.1088010914437278,-173.53947824434317,6199.4364218124265
2.4,0,2,5638.79158153157,-1.1071115031765582,-312.5595417539098,5647.447670655179
2.5,0,2,5139.239000562837,-1.094222916396268,-422.8726896541316,5156.607413201554
2.6,0,2,4691.270447386896,-1.0648322051832049,-509.49015500569567,4718.855768344801
2.7,0,2,4288.791230958252,-1.015920710250064,-576.5492377162145,4327.371058547029
2.8,0,2,3926.5321391824878,-0.9469666816874037,-627.4716512927916,3976.352123486425
2.9,0,2,3599.9205982031376,-0.8597179217819093,-665.0911625388112,3660.8435239667606
3,0,2,3304.9748869456307,-0.7576577622430954,-691.7572397016356,3376.5940911021858
3.1,0,2,3038.216204510265,-0.6974406354093348,-709.5359146229771,3119.9678533459387
3.2,0,2,2796.574397243901,-0.6163166115682865,-719.900694786443,2887.7475217754504
3.3,0,2,2577.492101906361,-0.5621809827276376,-724.1679276940031,2677.2906153306844
3.4,0,2,2378.5368721514287,-0.5248401186902147,-723.4908500922213,2486.1369507346567
3.5,0,2,2197.5778458720533,-0.4988890371919064,-718.8268095789881,2312.15497312084
3.6,0,2,2032.7441668989331,-0.48127037591517124,-710.9707800675355,2153.4921708222328
3.7,0,2,1882.389081779933,-0.46978945361059554,-700.582702911892,2008.5330466601147
3.8,0,2,1745.059149122309,-0.462394552241433,-688.209976152745,1875.8636994782858
3.9,0,2,1619.467976001802,-0.4569990750782874,-674.3061395209847,1754.242145183846
4,0,2,1504.4739034330732,-0.45162299489460606,-659.2465264421091,1642.5735638626552
4.1,0,2,1399.061090265472,-0.4446574471488741,-643.3414176794223,1539.8897076468904
4.2,0,2,1302.3234845251181,-0.43510196392714984,-626.8470618728735,1445.3317566005455
4.3,0,2,1213.4512192174243,-0.4226812034912027,-609.974832803232,1358.1359787344506
